# 출처 K카(kcar.com) 직영 매물 목록 API. 수집 2026-09-08 17:21 KST. 수집 968대 중 조건 통과 319대. 개인 검토용 비공식 분석, 상업적 이용 금지. total_cost/insurance_history/owner_changes/listed_date/warranty 는 상세 페이지가 robots.txt Disallow 라 미수집(null).
id,url,maker,model,model_group,full_name,trim,trim_series,year_month,year,model_year,km,price,total_cost,total_cost_est,fuel,fuel_raw,transmission,cc,body_type,category_raw,accident,insurance_history,owner_changes,options,location,listed_date,warranty,photo,use_tag,rent_reg,reg_type,group_key,group_n,group_median_price,group_median_km,price_gap,km_gap,group_note,score
EC61362061,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61362061,기아,올 뉴 K7,K7,기아 올 뉴 K7 2.4 GDI 프레스티지 ,2.4 GDI 프레스티지,2.4,2017-10,2017,2017,90935,1010,,1084,가솔린,가솔린,오토,2359,세단,대형차,단순수리,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈|선루프,서부산직영점 경남,,,https://img.kcar.com/3dcarpicture/2026/08/116/61362061_2/main/main780.jpg,,N,SELL,올 뉴 K7 2017±1,20,1190.0,94728,0.1513,0.04,,45.4
EC61394422,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61394422,현대,i30 (PD),i30,현대 i30 (PD) 디젤 1.6 스마트,디젤 1.6 스마트,디젤,2018-01,2018,2018,92021,910,,977,디젤,디젤,오토,1582,해치백,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,포천직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/07/145/61394422_1/main/main780.jpg,출퇴근용|영업용,N,SELL,i30 (PD) 2018±1,8,1165.0,86606,0.2189,-0.0625,,45.0
EC61387667,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61387667,현대,올 뉴 투싼,투싼,현대 올 뉴 투싼 디젤 1.7 2WD 스마트,디젤 1.7 2WD 스마트,디젤,2017-06,2017,2018,21187,1290,,1383,디젤,디젤,오토,1685,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비,경기서부직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/07/143/61387667_1/main/main780.jpg,출퇴근용|영업용,N,SELL,올 뉴 투싼 2017±1,8,1175.0,84077,-0.0979,0.748,,45.0
EC61408960,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61408960,현대,더 뉴 아반떼 AD,아반떼,현대 더 뉴 아반떼 AD 1.6 스타일,1.6 스타일,1.6,2019-08,2019,2020,37026,1210,,1298,가솔린,가솔린,오토,1598,세단,준중형차,무사고,,,후방카메라|내비,경기서부직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/09/143/61408960_1/main/main780.jpg,,N,SELL,더 뉴 아반떼 AD 2019±1,20,1180.0,84434,-0.0254,0.5615,,45.0
EC61401596,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61401596,기아,스토닉,스토닉,기아 스토닉 1.6 디젤 트렌디,1.6 디젤 트렌디,1.6,2019-02,2019,2019,40369,1200,,1287,디젤,디젤,오토,1582,SUV,SUV,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,광명직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/08/104/61401596_2/main/main780.jpg,출퇴근용|영업용,N,SELL,스토닉 2019±1,37,1120,77185,-0.0714,0.477,,45.0
EC61393921,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61393921,기아,스토닉,스토닉,기아 스토닉 1.6 디젤 프레스티지,1.6 디젤 프레스티지,1.6,2018-01,2018,2018,46551,1200,,1287,디젤,디젤,오토,1582,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,수원직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61393921_045.jpg,출퇴근용|영업용,N,SELL,스토닉 2018±1 / 1.6 계열,19,990,86076,-0.2121,0.4592,트림계열 세분(가격 산포 큼),45.0
EC61364191,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61364191,기아,스토닉,스토닉,기아 스토닉 1.6 디젤 프레스티지,1.6 디젤 프레스티지,1.6,2019-03,2019,2019,115146,890,,955,디젤,디젤,오토,1582,SUV,SUV,단순수리,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,천안직영점 충남,,,https://img.kcar.com/carpicture/carpicture06/pic6136/kcarM_61364191_045.jpg,출퇴근용|영업용,N,SELL,스토닉 2019±1,37,1120,77185,0.2054,-0.4918,,45.0
EC61410126,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61410126,기아,올 뉴 K3,K3,기아 올 뉴 K3 트렌디 ,트렌디,트렌디,2019-08,2019,2020,83791,1030,,1105,가솔린,가솔린,오토,1598,세단,준중형차,무사고,,,후방카메라|열선시트|크루즈,세종공주직영점 충남,,,https://img.kcar.com/carpicture/carpicture01/pic6141/kcarM_61410126_045.jpg,,N,SELL,올 뉴 K3 2019±1,9,1140,91330,0.0965,0.0825,,45.0
EC61382600,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61382600,기아,스포티지 4세대,스포티지,기아 스포티지 4세대 디젤 2.0 4WD 트렌디 ,디젤 2.0 4WD 트렌디,디젤,2018-06,2018,2018,91036,990,,1062,디젤,디젤,오토,1995,SUV,SUV,무사고,,,후방카메라|열선시트|내비|크루즈,김포공항직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture08/pic6138/kcarM_61382600_045.jpg,출퇴근용|영업용,N,SELL,스포티지 4세대 2018±1,8,1125.0,97402,0.12,0.0654,,44.9
EC61407197,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61407197,현대,아반떼 AD,아반떼,현대 아반떼 AD 1.6 e-VGT 스마트 세부등급 없음,1.6 e-VGT 스마트,1.6,2017-10,2017,2018,77232,860,,923,디젤,디젤,오토,1582,세단,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,아산직영점 충남,,,https://img.kcar.com/3dcarpicture/2026/09/174/61407197_1/main/main780.jpg,출퇴근용|영업용,N,SELL,아반떼 AD 2017±1,13,1010,86906,0.1485,0.1113,,44.7
EC61406836,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61406836,기아,올 뉴 K3,K3,기아 올 뉴 K3 럭셔리 ,럭셔리,럭셔리,2019-10,2019,2020,71368,1290,,1383,가솔린,가솔린,오토,1598,세단,준중형차,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,대구직영점 경북,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61406836_045.jpg,,N,SELL,올 뉴 K3 2019±1,9,1140,91330,-0.1316,0.2186,,44.6
EC61388662,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61388662,기아,쏘울 부스터,쏘울,기아 쏘울 부스터 1.6 T-GDI 노블레스 ,1.6 T-GDI 노블레스,1.6,2019-06,2019,2019,67789,1290,,1383,가솔린,가솔린,오토,1591,세단,준중형차,무사고,,,통풍시트|열선시트|스마트키|크루즈,서초직영점 서울,,,https://img.kcar.com/carpicture/carpicture08/pic6138/kcarM_61388662_045.jpg,,N,SELL,쏘울 부스터 2019±1,6,1210.0,95705,-0.0661,0.2917,,44.4
EC61395868,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61395868,현대,쏘나타 뉴 라이즈,쏘나타,현대 쏘나타 뉴 라이즈 1.6 터보 프리미엄 ,1.6 터보 프리미엄,1.6,2017-03,2017,2018,69830,1150,,1234,가솔린,가솔린,오토,1591,세단,중형차,단순수리,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,서부산직영점 경남,,,https://img.kcar.com/3dcarpicture/2026/09/116/61395868_1/main/main780.jpg,,N,SELL,쏘나타 뉴 라이즈 2017±1,25,1210,93525,0.0496,0.2534,,44.3
EC61408384,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61408384,기아,올 뉴 K7,K7,기아 올 뉴 K7 2.4 GDI 프레스티지 ,2.4 GDI 프레스티지,2.4,2017-01,2017,2017,104240,1000,,1073,가솔린,가솔린,오토,2359,세단,대형차,단순수리,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,양산직영점 경남,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61408384_045.jpg,,N,SELL,올 뉴 K7 2017±1,20,1190.0,94728,0.1597,-0.1004,,44.0
EC61396486,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61396486,기아,스포티지 더 볼드,스포티지,기아 스포티지 더 볼드 디젤 1.6 2WD 럭셔리,디젤 1.6 2WD 럭셔리,디젤,2018-12,2018,2019,101483,1050,,1126,디젤,디젤,오토,1598,SUV,SUV,무사고,,,후방카메라|내비|크루즈,세종공주직영점 충남,,,https://img.kcar.com/3dcarpicture/2026/08/169/61396486_2/main/main780.jpg,출퇴근용|영업용,N,SELL,스포티지 더 볼드 2018±1,5,1230,104364,0.1463,0.0276,,43.8
